"2-к. квартира, 57,7 м², 14/17 эт.",4846800,р-н Зареченский,57.7,84000,2,монолитный,17,14, 1 кв. 2024 года
"2-к. квартира, 57,8 м², 6/13 эт.",4768500,р-н Зареченский,57.8,82500,2,монолитный,13,6, 2 кв. 2023 года
"1-к. квартира, 39,2 м², 13/14 эт.",3580000,р-н Зареченский,39.2,91327,1,монолитный,14,13, 4 кв. 2022 года
"2-к. квартира, 56,2 м², 2/17 эт.",4945600,р-н Зареченский,56.2,88000,2,монолитный,17,2, 1 кв. 2024 года
"2-к. квартира, 58,8 м², 17/17 эт.",5174400,р-н Зареченский,58.8,88000,2,монолитный,17,17, 1 кв. 2024 года
"1-к. квартира, 34,3 м², 3/17 эт.",3395700,р-н Зареченский,34.3,99000,1,монолитный,17,3, 1 кв. 2024 года
"1-к. квартира, 34 м², 16/17 эт.",3400000,р-н Зареченский,34,100000,1,монолитный,17,16, 1 кв. 2024 года
"2-к. квартира, 59,6 м², 14/17 эт.",5185200,р-н Зареченский,59.6,87000,2,монолитный,17,14, 1 кв. 2024 года
"3-к. квартира, 68,4 м², 17/17 эт.",5403600,р-н Зареченский,68.4,79000,3,монолитный,17,17, 1 кв. 2024 года
"1-к. квартира, 34 м², 14/17 эт.",3400000,р-н Зареченский,34,100000,1,монолитный,17,14, 1 кв. 2024 года
"2-к. квартира, 57,7 м², 12/17 эт.",5135300,р-н Зареченский,57.7,89000,2,монолитный,17,12, 1 кв. 2024 года
"3-к. квартира, 68,5 м², 6/17 эт.",5377250,р-н Зареченский,68.5,78500,3,монолитный,17,6, 1 кв. 2024 года
"3-к. квартира, 68,4 м², 15/17 эт.",5677200,р-н Зареченский,68.4,83000,3,монолитный,17,15, 1 кв. 2024 года
"2-к. квартира, 57,7 м², 14/17 эт.",5135300,р-н Зареченский,57.7,89000,2,монолитный,17,14, 1 кв. 2024 года
"1-к. квартира, 34 м², 17/17 эт.",3400000,р-н Зареченский,34,100000,1,монолитный,17,17, 1 кв. 2024 года
"1-к. квартира, 34 м², 17/17 эт.",3400000,р-н Зареченский,34,100000,1,монолитный,17,17, 1 кв. 2024 года
"3-к. квартира, 68,1 м², 11/14 эт.",5150000,р-н Зареченский,68.1,75624,3,монолитно-кирпичный,14,11, 2 кв. 2022 года
"3-к. квартира, 68,4 м², 15/17 эт.",5403600,р-н Зареченский,68.4,79000,3,монолитный,17,15, 1 кв. 2024 года
"Квартира-студия, 24,2 м², 2/17 эт.",2541000,р-н Зареченский,44616,105000,0,монолитный,17,2, 1 кв. 2024 года
"3-к. квартира, 66,2 м², 2/17 эт.",5428400,р-н Зареченский,66.2,82000,3,монолитный,17,2, 1 кв. 2024 года
"1-к. квартира, 39,2 м², 17/17 эт.",3920000,р-н Зареченский,39.2,100000,1,монолитный,17,17, 1 кв. 2024 года
"Квартира-студия, 24,6 м², 6/17 эт.",2583000,р-н Зареченский,44736,105000,0,монолитный,17,6, 1 кв. 2024 года
"Квартира-студия, 24,4 м², 12/17 эт.",2586400,р-н Зареченский,44675,106000,0,монолитный,17,12, 1 кв. 2024 года
"2-к. квартира, 57,7 м², 13/17 эт.",5135300,р-н Зареченский,57.7,89000,2,монолитный,17,13, 1 кв. 2024 года
"3-к. квартира, 68,5 м², 7/17 эт.",5377250,р-н Зареченский,68.5,78500,3,монолитный,17,7, 1 кв. 2024 года
"3-к. квартира, 68,4 м², 13/17 эт.",5403600,р-н Зареченский,68.4,79000,3,монолитный,17,13, 1 кв. 2024 года
"2-к. квартира, 57,8 м², 8/17 эт.",4826300,р-н Зареченский,57.8,83500,2,монолитный,17,8, 1 кв. 2024 года
"1-к. квартира, 39,3 м², 9/17 эт.",3910350,р-н Зареченский,39.3,99500,1,монолитный,17,9, 1 кв. 2024 года
"3-к. квартира, 68,9 м², 4/17 эт.",5649800,р-н Зареченский,68.9,82000,3,монолитный,17,4, 1 кв. 2024 года
"2-к. квартира, 58,8 м², 12/17 эт.",5174400,р-н Зареченский,58.8,88000,2,монолитный,17,12, 1 кв. 2024 года
"2-к. квартира, 58,2 м², 5/17 эт.",5121600,р-н Зареченский,58.2,88000,2,монолитный,17,5, 1 кв. 2024 года
"1-к. квартира, 34,2 м², 6/17 эт.",3402900,р-н Зареченский,34.2,99500,1,монолитный,17,6, 1 кв. 2024 года
"1-к. квартира, 38,7 м², 2/17 эт.",3831300,р-н Зареченский,38.7,99000,1,монолитный,17,2, 1 кв. 2024 года
"Квартира-студия, 24,4 м², 14/17 эт.",2586400,р-н Зареченский,44675,106000,0,монолитный,17,14, 1 кв. 2024 года
"2-к. квартира, 58,8 м², 7/17 эт.",5203800,р-н Зареченский,58.8,88500,2,монолитный,17,7, 1 кв. 2024 года
"2-к. квартира, 57,7 м², 15/17 эт.",5135300,р-н Зареченский,57.7,89000,2,монолитный,17,15, 1 кв. 2024 года
"3-к. квартира, 66,2 м², 2/17 эт.",5163600,р-н Зареченский,66.2,78000,3,монолитный,17,2, 1 кв. 2024 года
"2-к. квартира, 59,6 м², 10/17 эт.",5185200,р-н Зареченский,59.6,87000,2,монолитный,17,10, 1 кв. 2024 года
